t (ms),vlv (ml),plv (mmHg),pao (mmHg)
3.079884504,86.96,6.395954548,72.26578894
6.420374621,86.82,6.888423903,71.87999137
9.760864737,86.56,7.865694436,71.51507684
13.10135485,86.2,9.281252485,71.17073249
16.44184497,85.77,11.08858439,70.84664547
19.7941808,85.28,13.24117649,70.54250292
23.13467091,84.75,15.69251512,70.25799199
26.47516103,84.22,18.39608662,69.99279984
29.81565114,83.69,21.30537734,69.74661359
33.16798697,83.19,24.3738736,69.51912041
36.50847709,82.73,27.55495261,69.31000743
39.8489672,82.28,30.80029638,69.11896181
43.18945732,81.85,34.06024941,68.94567069
46.54179314,81.43,37.28511987,68.78982122
49.88228326,81.02,40.42521593,68.65110054
53.22277338,80.6,43.43643512,68.5291958
56.56326349,80.17,46.30623486,68.42379415
59.91559932,79.72,49.03313853,68.33458273
63.25608944,79.26,51.61568145,68.2612487
66.59657955,78.77,54.05240382,68.20347918
69.93706967,78.25,56.34318319,68.16096135
73.28940549,77.71,58.49104242,68.13338233
76.62989561,77.16,60.49945619,68.12042927
79.97038573,76.61,62.37189917,68.12178933
83.31087584,76.04,64.11181674,68.13714965
86.66321167,75.48,65.72190047,68.16619738
90.00370178,74.93,67.20404053,68.20861965
93.3441919,74.38,68.56008833,68.26410363
96.68468202,73.85,69.79189527,68.33233645
100.0370178,73.33,70.90161408,68.41300527
103.377508,72.84,71.89383713,68.50579722
106.7179981,72.36,72.7743393,68.61039945
110.0584882,71.89,73.54890326,68.72649912
113.3989783,71.44,74.22331171,68.85378337
116.7513141,71.01,74.80344137,68.99193934
120.0918042,70.58,75.29547671,69.14065419
123.4322944,70.17,75.70566506,69.29961505
126.7727845,69.77,76.04025374,69.46850907
130.1251203,69.37,76.30548887,69.64702341
133.4656104,68.98,76.50755761,69.8348452
136.8061005,68.6,76.65256258,70.0316616
140.1465907,68.23,76.74659983,70.23715975
143.4989265,67.87,76.79576544,70.45102679
146.8394166,67.51,76.80616274,70.67294988
150.1799067,67.16,76.78398197,70.90261616
153.5203968,66.81,76.73547083,71.13971278
156.8727327,66.46,76.66687803,71.38392688
160.2132228,66.1,76.5844523,71.63494561
163.5537129,65.74,76.49437604,71.89245611
166.894203,65.37,76.40252646,72.15614554
170.2465388,64.99,76.31469298,72.42570104
173.5870289,64.61,76.23666499,72.70080975
176.9275191,64.22,76.17423621,72.98115883
180.2680092,63.82,76.13372948,73.26643541
183.6084993,63.42,76.12249963,73.55632666
186.9608351,63.02,76.14802065,73.8505197
190.3013252,62.62,76.21776655,74.14870169
193.6418154,62.21,76.33889106,74.45055978
196.9823055,61.82,76.5125012,74.75578111
200.3346413,61.43,76.73431033,75.06405283
203.6751314,61.04,76.99984269,75.37506208
207.0156215,60.65,77.30462253,75.68849602
210.3561116,60.28,77.64386863,76.00404178
213.7084475,59.9,78.01080544,76.32138652
217.0489376,59.53,78.39785711,76.64021738
220.3894277,59.16,78.79744565,76.9602215
223.7299178,58.79,79.20199264,77.28108604
227.0822536,58.42,79.60368293,77.60249814
230.4227438,58.06,79.99406481,77.92414495
233.7632339,57.7,80.36458069,78.24571361
237.103724,57.34,80.70667297,78.56689128
240.4560598,56.98,81.01192145,78.88736509
243.7965499,56.62,81.27641519,79.2068222
247.1370401,56.26,81.50166117,79.52494975
