t (ms), vlv (ml), plv (mmHg), part (mmHg)
0.000000000000000000e+00,5.248836579000000313e+01,9.725614692000000616e+00,7.433939162000000067e+01
1.632653080681682667e+01,5.307319125000000071e+01,8.263625347999999704e+00,7.377557323000000622e+01
3.265306161363365334e+01,5.263091474000000147e+01,1.367890116000000056e+01,7.339451313000000710e+01
4.897959146704803146e+01,5.127308562000000336e+01,2.387383737000000039e+01,7.318353860000000566e+01
6.530612227386485813e+01,4.912928615999999948e+01,3.675082921999999996e+01,7.312997694999999965e+01
8.163265308068169190e+01,4.641604423999999796e+01,5.021227195000000165e+01,7.322115547999999308e+01
9.795918388749851147e+01,4.337197225999999972e+01,6.216056079999999895e+01,7.344440147000000252e+01
1.142857146943153452e+02,4.022850640000000055e+01,7.080615561000000469e+01,7.378704222999999729e+01
1.306122445477297163e+02,3.720552457000000146e+01,7.618692953000000045e+01,7.423640505999999561e+01
1.469387753545465216e+02,3.451849466000000177e+01,7.901231285000000071e+01,7.477981724999999358e+01
1.632653061613633838e+02,3.236016155000000083e+01,7.999278046000000586e+01,7.540460609999999519e+01
1.795918369681801892e+02,3.075989742999999876e+01,7.983880720999999880e+01,7.609809889999999655e+01
1.959183677749970229e+02,2.967552536999999901e+01,7.926086798999999417e+01,7.684762295000000165e+01
2.122448976284114224e+02,2.905810033999999931e+01,7.891657773000000020e+01,7.764050555999999403e+01
2.285714284352282277e+02,2.879992593000000056e+01,7.898770675000000097e+01,7.846407401000000448e+01
2.448979592420450899e+02,2.876190184000000016e+01,7.940374414000000058e+01,7.930565559999999437e+01
2.612244900488619237e+02,2.880462843999999833e+01,8.009184319000000585e+01,8.015257762999999613e+01
2.775510208556787006e+02,2.878870613000000134e+01,8.097915715999999975e+01,8.099216739999999959e+01
2.938775507090930432e+02,2.857473527999999874e+01,8.199283932000000163e+01,8.181175220000000081e+01
3.102040815159099338e+02,2.803374810000000039e+01,8.304313971999999922e+01,8.259865933000000382e+01
3.265306123227267676e+02,2.718558429000000132e+01,8.379837697000000674e+01,8.334021608999999842e+01
3.428571431295435445e+02,2.616140173000000146e+01,8.374545118000000343e+01,8.402374978000000283e+01
3.591836739363603783e+02,2.509506887999999947e+01,8.235643923000000655e+01,8.463658768000000521e+01
3.755102037897747778e+02,2.412045417999999941e+01,7.890777457000000084e+01,8.516605710999999701e+01
3.918367345965916115e+02,2.337142607999999910e+01,7.250060324000000378e+01,8.559948534999999481e+01
4.081632654034084453e+02,2.297837437000000094e+01,6.230136121000000315e+01,8.592460257999999840e+01
4.244897962102252791e+02,2.299167946000000029e+01,4.912247183000000206e+01,8.613840535999999304e+01
4.408163260636396217e+02,2.338171241999999950e+01,3.542234581000000304e+01,8.624715659999999673e+01
4.571428568704564555e+02,2.411536565000000110e+01,2.368842971000000119e+01,8.625752210000000275e+01
4.734693876772732892e+02,2.515953153999999969e+01,1.505138217999999917e+01,8.617616764999999646e+01
4.897959184840901798e+02,2.648110249000000138e+01,9.033749376999999470e+00,8.600975905999999327e+01
5.061224492909069568e+02,2.804660069999999905e+01,5.066932645999999707e+00,8.576496212000000696e+01
5.224489791443212425e+02,2.980481354999999866e+01,2.680449934999999950e+00,8.544844263000000240e+01
5.387755099511381331e+02,3.167932798000000005e+01,1.541528339999999941e+00,8.506686639000000127e+01
5.551020407579550238e+02,3.359180883999999878e+01,1.327712597000000105e+00,8.462689919999999688e+01
5.714285715647718007e+02,3.546392098999999831e+01,1.716547443000000062e+00,8.413520685000000299e+01
5.877551023715886913e+02,3.721732929000000212e+01,2.385577613000000152e+00,8.359845516000000032e+01
6.040816322250029771e+02,3.877408110999999735e+01,3.013504033999999887e+00,8.302330990000000099e+01
6.204081630318198677e+02,4.009718874000000000e+01,3.403805790999999914e+00,8.241643689999999367e+01
6.367346938386366446e+02,4.122674846999999687e+01,3.595264365999999878e+00,8.178450193000000468e+01
6.530612246454535352e+02,4.221139545999999854e+01,3.652793541999999949e+00,8.113417080000000681e+01
6.693877554522703122e+02,4.309976488000000217e+01,3.641307097999999964e+00,8.047210932000000128e+01
6.857142853056847116e+02,4.394049188999999700e+01,3.625718818000000176e+00,7.980498326999999392e+01
7.020408161125014885e+02,4.478221314000000319e+01,3.670942482000000062e+00,7.913945845000000645e+01
7.183673469193183792e+02,4.567431873000000309e+01,3.841891872000000152e+00,7.848220068000000538e+01
7.346938777261351561e+02,4.666817818999999901e+01,4.203480770999999727e+00,7.783987573000000282e+01
7.510204085329520467e+02,4.781548223000000064e+01,4.820622958000000402e+00,7.721914941999999371e+01
7.673469383863663325e+02,4.916792153000000098e+01,5.758232216999999764e+00,7.662668754000000604e+01
7.836734691931832231e+02,5.077718679000000179e+01,7.081222327999999955e+00,7.606915589000000466e+01
8.000000000000000000e+02,5.269496869000000316e+01,8.854507073000000617e+00,7.555322026999999707e+01
8.000000000000000000e+02,5.269496869000000316e+01,8.854507073000000617e+00,7.555322026999999707e+01
