t (ms),vlv (ml),plv (mmHg),pao  (mmHg)
3.224539291,86.39,12.78345198,95.63868812
7.159570289,86.48,12.48271088,95.53986103
11.09460129,86.45,12.36644228,95.4231858
15.02963229,86.32,12.44056911,95.28966671
18.97832659,86.1,12.71101428,95.14030806
22.91335759,85.82,13.18370071,94.97611414
26.84838858,85.49,13.8645513,94.79808925
30.79708289,85.13,14.75948897,94.60723769
34.73211388,84.75,15.87443663,94.40456374
38.66714488,84.34,17.21549054,94.1910717
42.60217588,83.9,18.78997732,93.96776586
46.55087018,83.42,20.60575585,93.73565051
50.48590118,82.91,22.67068712,93.49572995
54.42093218,82.37,24.99049336,93.24900847
58.36962648,81.81,27.5502193,92.99649036
62.30465748,81.23,30.32332063,92.73917993
66.23968848,80.64,33.28312528,92.47808147
70.18838278,80.04,36.40287083,92.21419928
74.12341378,79.43,39.65456993,91.94853765
78.05844477,78.81,43.00935299,91.68210084
81.99347577,78.2,46.43833099,91.41589314
85.94217007,77.58,49.91258334,91.15091881
89.87720107,76.96,53.40256071,90.88818218
93.81223207,76.35,56.87813475,90.62868763
97.74726307,75.74,60.30915551,90.3734395
101.6959574,75.14,63.66578692,90.12344217
105.6309884,74.54,66.92805149,89.87969985
109.5660194,73.96,70.08756669,89.64321656
113.5147137,73.39,73.13661399,89.41499632
117.4497447,72.84,76.06750102,89.19604316
121.3847757,72.31,78.87398791,88.98736161
125.3198067,71.79,81.55202191,88.78995691
129.268501,71.29,84.09773106,88.60483438
133.203532,70.79,86.50723545,88.43299934
137.138563,70.3,88.77569737,88.27545555
141.0872573,69.82,90.89642143,88.13320383
145.0222883,69.35,92.86249921,88.00724464
148.9573193,68.87,94.66703269,87.89857846
152.9060136,68.4,96.30726603,87.80821041
156.8410446,67.92,97.79088613,87.73715723
160.7760756,67.45,99.12719998,87.6864375
164.7111066,66.98,100.3255147,87.65706977
168.6598009,66.51,101.3959581,87.65005911
172.5948319,66.05,102.3513758,87.66636579
176.5298629,65.59,103.2051758,87.70694082
180.4785572,65.13,103.9707657,87.77273523
184.4135882,64.67,104.661621,87.86473832
188.3486192,64.22,105.2915136,87.98410722
192.2836502,63.77,105.8742967,88.13204505
196.2323445,63.32,106.4238232,88.3097549
200.1673755,62.87,106.9527137,88.5182406
204.1024064,62.43,107.466407,88.75734477
208.0511007,61.99,107.9677487,89.02649069
211.9861317,61.56,108.4595804,89.32510105
215.9211627,61.14,108.944457,89.65255354
219.8561937,60.72,109.4226852,90.00787323
223.804888,60.31,109.8935129,90.38991907
227.739919,59.91,110.3561814,90.797549
231.67495,59.53,110.8099815,91.22962869
235.6236443,59.15,111.254735,91.6851066
239.5586753,58.79,111.6905868,92.16298158
243.4937063,58.44,112.1176863,92.66225319
247.4287373,58.1,112.5361747,93.18191971
251.3774316,57.78,112.9460625,93.72095967
255.3124626,57.46,113.3472587,94.27833615
259.2474936,57.16,113.7396698,94.85301185
263.1961879,56.86,114.1232034,95.44394958
267.1312189,56.58,114.4977982,96.05011498
271.0662499,56.31,114.8634237,96.67047653
275.0012809,56.05,115.220051,97.30400283
278.9499752,55.8,115.5676508,97.94966263
282.8850062,55.56,115.9061874,98.60643022
286.8200372,55.34,116.2356171,99.27328699
290.7687315,55.13,116.5558954,99.94921478
294.7037625,54.93,116.866978,100.633195
298.6387935,54.75,117.1688194,101.3241783
302.5738245,54.59,117.4613718,102.021065
306.5225188,54.45,117.7445876,102.7227508
310.4575498,54.34,118.018419,103.4281313
314.3925808,54.24,118.2828268,104.1360864
318.3412751,54.17,118.5377901,104.8454627
322.2763061,54.12,118.7832898,105.5551025
326.2113371,54.09,119.0193072,106.2638481
330.1463681,54.06,119.2457968,106.9705455
334.0950624,54.04,119.4626399,107.6740501
338.0300934,54.03,119.6697053,108.3732189
341.9651244,54.01,119.8668619,109.066909
345.9138187,53.99,120.0540555,109.7539754
349.8488497,53.96,120.2315121,110.4332647
353.7838807,53.92,120.399521,111.1036215
357.7189117,53.88,120.5583714,111.7638907
361.667606,53.83,120.7081363,112.4129218
365.602637,53.78,120.8478476,113.0495873
369.537668,53.72,120.976225,113.6727665
373.4863623,53.67,121.0919881,114.2813388
377.4213933,53.61,121.1944462,114.8741707
381.3564243,53.56,121.2866844,115.4500478
385.3051186,53.5,121.373277,116.0077236
389.2401496,53.44,121.4588017,116.5459515
393.1751806,53.38,121.5458246,117.0635287
397.1102116,53.32,121.61949,117.5596299
401.0589059,53.26,121.6560095,118.0336237
404.9939369,53.21,121.631522,118.4848803
408.9289679,53.18,121.5210539,118.9127946
412.8776622,53.18,121.2862781,119.3170602
416.8126932,53.22,120.8800468,119.6975676
420.7477242,53.3,120.2550555,120.0542111
424.6827552,53.43,119.3647051,120.3868814
428.6314495,53.63,118.1746022,120.6954108
432.5664805,53.89,116.6606764,120.9795822
436.5015115,54.21,114.7991822,121.2391769
440.4502058,54.59,112.5670384,121.4739767
444.3852368,55.01,109.9587815,121.6837733
448.3202678,55.48,106.9879768,121.8683692
452.2552988,55.99,103.6691367,122.0275673
456.2039931,56.54,100.0172132,122.1611711
460.1390241,57.13,96.06685321,122.2689941
464.0740551,57.75,91.87990323,122.3508643
468.0227494,58.4,87.52019972,122.4066107
471.9577804,59.08,83.05151357,122.4360621
475.8928114,59.8,78.53177451,122.4390044
479.8278424,60.54,74.00854776,122.4151489
483.7765367,61.3,69.528334,122.3641988
487.7115677,62.08,65.13760973,122.285858
491.6465987,62.86,60.87696804,122.1799831
495.595293,63.64,56.77347888,122.0467816
499.530324,64.4,52.85231936,121.8865097
503.465355,65.16,49.13866111,121.6994242
