t (ms), vlv (ml), plv (mmHg), part (mmHg)
0.000000000000000000e+00,8.765000000000000568e+01,9.618861419999999995e+00,7.447008087999999759e+01
6.181832816839055056e+00,8.840000000000000568e+01,1.117845628917589629e+01,7.320480883655716298e+01
1.236366563367811011e+01,8.915999999999999659e+01,1.273805115835179436e+01,7.193953679311431415e+01
1.855623079915751106e+01,8.993000000000000682e+01,1.638421257143748377e+01,7.108492515321151473e+01
2.473806361599656611e+01,9.065000000000000568e+01,2.372129610117027099e+01,7.096429728207780840e+01
3.091989643283562117e+01,9.131000000000000227e+01,3.105837963090305820e+01,7.084366941094411629e+01
3.710172924967466912e+01,9.189000000000000057e+01,3.943816546358172559e+01,7.134085717174832553e+01
4.328356206651372418e+01,9.234999999999999432e+01,4.822417962637694444e+01,7.207874087402400676e+01
4.947612723199313223e+01,9.265999999999999659e+01,5.684867667914326006e+01,7.286388007685749812e+01
5.565796004883218728e+01,9.281000000000000227e+01,6.343390819188654461e+01,7.417414274607006064e+01
6.183979286567124234e+01,9.276000000000000512e+01,7.001913970462983627e+01,7.548440541528262315e+01
6.504876510913456400e+01,9.248000000000000398e+01,7.343751509058510862e+01,7.616455912725234612e+01
6.825773735259789987e+01,9.200000000000000000e+01,7.567218992400277955e+01,7.698138574324771355e+01
7.146670959606122153e+01,9.132999999999999829e+01,7.780365544723969151e+01,7.781012915366768823e+01
7.467568183952455740e+01,9.053000000000000114e+01,7.993512097047661769e+01,7.863887256408766291e+01
7.788465408298787906e+01,8.962000000000000455e+01,8.206658649371354386e+01,7.946761597450765180e+01
8.109362632645121494e+01,8.862999999999999545e+01,8.419805201695047003e+01,8.029635938492762648e+01
8.430259856991453660e+01,8.760999999999999943e+01,8.558976372973873481e+01,8.112515193245529588e+01
8.751157081337787247e+01,8.659000000000000341e+01,8.683212888206233515e+01,8.195395440011846233e+01
9.072054305684119413e+01,8.559999999999999432e+01,8.807449403438593549e+01,8.278275686778162878e+01
9.392951530030453000e+01,8.467000000000000171e+01,8.931685918670953583e+01,8.361155933544479524e+01
9.713848754376785166e+01,8.381999999999999318e+01,9.055922433903313618e+01,8.444036180310794748e+01
