t (ms), vlv (ml), plv (mmHg), part (mmHg)
0.000000000000000000e+00,9.540000000000000568e+01,1.684910305000000008e+01,5.443919265000000252e+01
4.118167808780615502e+00,9.648000000000000398e+01,2.188303166403931499e+01,5.527697207510831134e+01
8.236335617561231004e+00,9.760999999999999943e+01,2.691696027807862990e+01,5.611475150021662728e+01
1.235450342634184828e+01,9.873000000000000398e+01,3.195088889211794481e+01,5.695253092532493611e+01
1.647267123512246201e+01,9.978000000000000114e+01,3.713534622994320955e+01,5.772288594281933172e+01
2.059083904390307751e+01,1.006899999999999977e+02,4.641108077141511501e+01,5.666068744559410675e+01
2.470900685268369656e+01,1.014000000000000057e+02,5.568681531288702047e+01,5.559848894836888178e+01
2.882717466146431207e+01,1.018499999999999943e+02,6.496254985435892593e+01,5.453629045114365681e+01
3.294534247024492402e+01,1.019899999999999949e+02,7.455148476967137583e+01,5.354301752586869867e+01
3.706351027902555018e+01,1.017399999999999949e+02,8.824013509956067480e+01,5.345196328672751207e+01
4.118167808780615502e+01,1.010400000000000063e+02,1.019287854294499027e+02,5.336090904758633258e+01
4.705728056657596170e+01,9.982999999999999829e+01,1.214590890848333515e+02,5.323099726690082178e+01
5.293288304534574706e+01,9.814000000000000057e+01,1.303273819393403130e+02,5.738311251102683741e+01
5.880848552411555374e+01,9.604000000000000625e+01,1.340112103803855916e+02,6.361738816018564080e+01
6.468408800288534621e+01,9.365999999999999659e+01,1.376950388214308703e+02,6.985166380934442998e+01
7.055969048165515289e+01,9.106999999999999318e+01,1.345454674576216689e+02,8.139175094759143292e+01
7.643529296042494536e+01,8.837000000000000455e+01,1.305868054148859869e+02,9.356005869966996613e+01
8.229778025509033057e+01,8.567000000000000171e+01,1.270039921725888092e+02,1.047839392132729159e+02
8.817338273386012304e+01,8.304999999999999716e+01,1.262874452838372292e+02,1.088493037109839747e+02
9.404898521262991551e+01,8.060999999999999943e+01,1.255708983950856492e+02,1.129146682086950335e+02
9.992458769139970798e+01,7.845000000000000284e+01,1.249455435476949106e+02,1.159203057149816800e+02
1.040427555001803341e+02,7.659999999999999432e+01,1.246343983245202907e+02,1.165492134431056570e+02
1.081609233089609603e+02,7.498000000000000398e+01,1.243232531013456708e+02,1.171781211712296340e+02
1.122790911177415722e+02,7.356999999999999318e+01,1.240121078781710651e+02,1.178070288993536110e+02
1.163972589265221700e+02,7.232999999999999829e+01,1.236759063944826949e+02,1.181387389185196639e+02
1.205154267353027961e+02,7.121999999999999886e+01,1.233158936818588955e+02,1.181880188167505565e+02
1.246335945440834223e+02,7.020000000000000284e+01,1.229558809692350962e+02,1.182372987149814350e+02
1.287517623528640343e+02,6.923000000000000398e+01,1.225958682566112827e+02,1.182865786132123276e+02
1.328699301616446462e+02,6.829000000000000625e+01,1.226485396158127941e+02,1.180968703295185378e+02
1.369880979704252582e+02,6.731999999999999318e+01,1.230412898609011449e+02,1.177102200260138574e+02
1.411062657792058985e+02,6.629000000000000625e+01,1.234340401059895100e+02,1.173235697225091627e+02
1.452244335879864821e+02,6.520999999999999375e+01,1.238267903510778609e+02,1.169369194190044681e+02
1.493426013967671224e+02,6.412000000000000455e+01,1.248818217993733697e+02,1.163762980446922484e+02
1.534607692055477344e+02,6.303000000000000114e+01,1.264091739136039934e+02,1.156916053067064922e+02
1.575789370143283463e+02,6.193999999999999773e+01,1.279365260278346170e+02,1.150069125687207503e+02
1.616971048231089583e+02,6.086999999999999744e+01,1.294638781420652549e+02,1.143222198307349942e+02
1.658152726318895418e+02,5.981000000000000227e+01,1.298587920858047937e+02,1.135383594776761527e+02
1.699334404406701822e+02,5.878999999999999915e+01,1.295572693043966126e+02,1.126935121578389811e+02
1.740516082494507941e+02,5.779999999999999716e+01,1.292557465229884315e+02,1.118486648380018096e+02
1.781697760582314345e+02,5.686999999999999744e+01,1.289542237415802504e+02,1.110038175181646380e+02
1.822879438670120464e+02,5.599000000000000199e+01,1.310299570166736771e+02,1.101443923456083240e+02
1.864061116757926584e+02,5.515999999999999659e+01,1.343595735948335061e+02,1.092772780871123075e+02
1.905242794845732988e+02,5.438000000000000256e+01,1.376891901729933920e+02,1.084101638286162768e+02
1.946424472933538823e+02,5.364000000000000057e+01,1.410188067511531926e+02,1.075430495701202744e+02
1.987606151021344942e+02,5.295000000000000284e+01,1.395740734191610102e+02,1.067461991487457595e+02
2.028787829109151062e+02,5.228000000000000114e+01,1.359860760152820944e+02,1.059808910232836610e+02
2.069969507196957181e+02,5.165999999999999659e+01,1.323980786114031503e+02,1.052155828978215624e+02
2.111151185284763585e+02,5.107000000000000028e+01,1.288100812075242061e+02,1.044502747723594496e+02
2.152332863372569705e+02,5.050999999999999801e+01,1.247554986127100562e+02,1.037624178611555266e+02
2.193514541460376108e+02,4.996999999999999886e+01,1.205245203670945386e+02,1.031038418993041574e+02
2.234696219548182228e+02,4.946000000000000085e+01,1.162935421214790352e+02,1.024452659374528025e+02
2.275877897635988063e+02,4.897999999999999687e+01,1.120625638758635603e+02,1.017866899756014476e+02
2.317059575723794467e+02,4.852000000000000313e+01,1.095284039942193175e+02,1.011663756249020736e+02
2.358241253811600586e+02,4.809000000000000341e+01,1.075267184945744248e+02,1.005580680559449576e+02
2.399422931899406422e+02,4.768999999999999773e+01,1.055250329949295462e+02,9.994976048698785576e+01
2.440604609987212825e+02,4.731000000000000227e+01,1.035233474952846393e+02,9.934145291803073974e+01
2.481786288075018945e+02,4.696000000000000085e+01,1.010189076887150890e+02,9.872778192000620834e+01
2.522967966162825348e+02,4.661999999999999744e+01,9.838612351557456748e+01,9.811274173250518515e+01
2.564149644250630899e+02,4.632000000000000028e+01,9.575333934243410283e+01,9.749770154500417618e+01
2.605331322338437303e+02,4.603000000000000114e+01,9.312055516929358134e+01,9.688266135750313879e+01
2.646513000426243707e+02,4.577000000000000313e+01,9.189745192601854740e+01,9.621458701862340490e+01
2.687694678514050111e+02,4.553000000000000114e+01,9.095875132491339343e+01,9.553581305796558354e+01
2.728876356601855946e+02,4.531000000000000227e+01,9.002005072380826789e+01,9.485703909730777639e+01
2.770058034689662350e+02,4.510999999999999943e+01,8.908135012270311393e+01,9.417826513664995502e+01
2.811239712777468753e+02,4.492000000000000171e+01,8.878632325665165581e+01,9.339474088231018811e+01
2.852421390865274589e+02,4.475999999999999801e+01,8.858951815699845156e+01,9.259523219623761747e+01
2.893603068953080424e+02,4.460999999999999943e+01,8.839271305734526152e+01,9.179572351016504683e+01
2.934784747040886259e+02,4.446999999999999886e+01,8.819590795769205727e+01,9.099621482409246198e+01
2.975966425128692663e+02,4.435000000000000142e+01,8.771821711851445968e+01,9.004384780519085041e+01
3.017148103216499067e+02,4.422999999999999687e+01,8.721038586385880365e+01,8.907507833855889601e+01
3.058329781304305470e+02,4.413000000000000256e+01,8.670255460920313340e+01,8.810630887192692740e+01
3.099511459392111874e+02,4.403999999999999915e+01,8.619472335454747736e+01,8.713753940529497299e+01
3.140693137479917141e+02,4.396000000000000085e+01,8.452696555085722707e+01,8.608486412719972236e+01
3.181874815567723545e+02,4.389000000000000057e+01,8.278330374302896644e+01,8.502669816776275979e+01
3.223056493655529948e+02,4.382000000000000028e+01,8.103964193520072001e+01,8.396853220832579723e+01
3.264238171743336352e+02,4.377000000000000313e+01,7.929598012737247359e+01,8.291036624888883466e+01
3.305419849831142187e+02,4.372999999999999687e+01,7.514463809671049432e+01,8.194016669581681356e+01
3.346601527918948022e+02,4.368999999999999773e+01,7.092919587257090086e+01,8.097230909148616718e+01
3.387783206006753858e+02,4.364999999999999858e+01,6.671375364843130740e+01,8.000445148715552079e+01
3.428964884094560830e+02,4.361999999999999744e+01,6.248482845094468274e+01,7.903913650859290385e+01
3.470146562182366665e+02,4.357999999999999829e+01,5.685816834982953338e+01,7.833740706798482734e+01
3.511328240270173069e+02,4.354999999999999716e+01,5.123150824871431297e+01,7.763567762737675082e+01
3.552509918357978904e+02,4.352000000000000313e+01,4.560484814759917072e+01,7.693394818676867430e+01
3.593691596445784739e+02,4.349000000000000199e+01,4.002884510505154481e+01,7.624553169141316289e+01
3.634873274533591712e+02,4.346999999999999886e+01,3.552687063348955121e+01,7.583937563457385522e+01
3.676054952621397547e+02,4.346999999999999886e+01,3.102489616192769262e+01,7.543321957773456177e+01
3.717236630709203951e+02,4.349000000000000199e+01,2.652292169036576297e+01,7.502706352089526831e+01
3.758418308797009786e+02,4.353000000000000114e+01,2.218659838219309322e+01,7.463541891857128974e+01
3.799599986884816190e+02,4.360000000000000142e+01,1.974169432213671271e+01,7.440946735351212737e+01
3.840781664972622025e+02,4.371000000000000085e+01,1.729679026208036774e+01,7.418351578845297922e+01
3.881963343060427860e+02,4.385999999999999943e+01,1.485188620202401921e+01,7.395756422339383107e+01
3.923145021148234832e+02,4.404999999999999716e+01,1.253634748689451328e+01,7.373875996572954250e+01
3.964326699236040668e+02,4.428000000000000114e+01,1.120652109402954366e+01,7.357441533922941801e+01
4.005508377323846503e+02,4.454999999999999716e+01,9.876694701164572265e+00,7.341007071272927931e+01
4.046690055411652907e+02,4.485000000000000142e+01,8.546868308299583106e+00,7.324572608622915482e+01
4.087871733499459310e+02,4.518999999999999773e+01,7.274531451693735384e+00,7.308187335661268946e+01
4.129053411587265714e+02,4.557000000000000028e+01,6.324170754296416064e+00,7.292077554692833985e+01
4.170235089675070981e+02,4.596999999999999886e+01,5.373810056899122500e+00,7.275967773724400445e+01
4.211416767762877953e+02,4.639999999999999858e+01,4.423449359501789857e+00,7.259857992755965483e+01
4.252598445850683220e+02,4.685000000000000142e+01,3.529037255993954236e+00,7.243768826414465423e+01
4.293780123938490760e+02,4.732999999999999829e+01,2.877885754334145396e+00,7.227769291039643917e+01
4.334961802026296027e+02,4.782999999999999829e+01,2.226734252674372527e+00,7.211769755664823833e+01
4.376143480114102999e+02,4.835000000000000142e+01,1.575582751014572569e+00,7.195770220290003749e+01
4.417325158201908266e+02,4.889999999999999858e+01,9.787822670781675116e-01,7.179795884949632523e+01
4.458506836289714670e+02,4.946999999999999886e+01,5.719326268632326515e-01,7.163909620964794556e+01
4.499688514377521074e+02,5.007999999999999829e+01,1.650829866482977915e-01,7.148023356979956588e+01
4.540870192465326340e+02,5.071999999999999886e+01,-2.417666535666258554e-01,7.132137092995118621e+01
4.582051870553133313e+02,5.139999999999999858e+01,-5.997597031086242536e-01,7.116280830169449700e+01
4.623233548640938579e+02,5.211999999999999744e+01,-8.172146584926540669e-01,7.100510866974477153e+01
4.664415226728746120e+02,5.289000000000000057e+01,-1.034669613876695760e+00,7.084740903779504606e+01
4.705596904816551387e+02,5.371999999999999886e+01,-1.252124569260725462e+00,7.068970940584533480e+01
4.746778582904357791e+02,5.460000000000000142e+01,-1.430114350221945552e+00,7.053235994747524273e+01
4.787829109151119837e+02,5.553000000000000114e+01,-1.512817615850324149e+00,7.037635204746068496e+01
4.829010787238926810e+02,5.650000000000000000e+01,-1.595785109164418403e+00,7.021984571965055011e+01
4.870323617167776433e+02,5.750000000000000000e+01,-1.679016830164223650e+00,7.006284096404485240e+01
4.911505295255582837e+02,5.852000000000000313e+01,-1.735661840316421456e+00,6.990673710758878201e+01
4.952686973343388672e+02,5.954999999999999716e+01,-1.738606061165545391e+00,6.975145433739773182e+01
4.993737499590150719e+02,6.057999999999999829e+01,-1.741540905515149840e+00,6.959666609832193274e+01
5.034919177677957123e+02,6.159000000000000341e+01,-1.744485126364273997e+00,6.944138332813088255e+01
5.076232007606806746e+02,6.257999999999999829e+01,-1.731186740548354752e+00,6.928606296455160418e+01
5.117413685694613150e+02,6.353000000000000114e+01,-1.689534394510592064e+00,6.913203406311616561e+01
5.158464211941375197e+02,6.445000000000000284e+01,-1.648014699256389548e+00,6.897849569958337668e+01
5.199645890029181601e+02,6.532999999999999829e+01,-1.606362353218626859e+00,6.882446679814793811e+01
5.240827568116988004e+02,6.618999999999999773e+01,-1.550769477762522497e+00,6.867094733924173511e+01
5.282009246204793271e+02,6.701000000000000512e+01,-1.473978036897544586e+00,6.851820256043940560e+01
5.323190924292599675e+02,6.781000000000000227e+01,-1.397186596032564676e+00,6.836545778163709031e+01
5.364372602380406079e+02,6.857999999999999829e+01,-1.320395155167584988e+00,6.821271300283477501e+01
5.405554280468212482e+02,6.931000000000000227e+01,-1.231692508877065606e+00,6.806053633678278914e+01
5.446735958556018886e+02,7.001999999999999602e+01,-1.127342302991602319e+00,6.790910599134235781e+01
5.487917636643824153e+02,7.070000000000000284e+01,-1.022992097106141918e+00,6.775767564590194070e+01
5.529099314731631694e+02,7.135999999999999943e+01,-9.186418912206757437e-01,6.760624530046150937e+01
5.570280992819436960e+02,7.198000000000000398e+01,-8.049478021613847289e-01,6.745544386126078962e+01
5.611462670907243364e+02,7.256000000000000227e+01,-6.806191320642301923e-01,6.730535820095488475e+01
5.652644348995049768e+02,7.312000000000000455e+01,-5.562904619670756556e-01,6.715527254064896567e+01
5.693826027082855035e+02,7.365999999999999659e+01,-4.319617918699245052e-01,6.700518688034306081e+01
5.735007705170661438e+02,7.417000000000000171e+01,-3.013945686360278708e-01,6.685579309071049181e+01
5.776189383258466705e+02,7.467000000000000171e+01,-1.646677612924403178e-01,6.670708241389466764e+01
5.817371061346274246e+02,7.515000000000000568e+01,-2.794095394884515970e-02,6.655837173707881504e+01
5.858552739434079513e+02,7.562999999999999545e+01,1.087858533947423934e-01,6.640966106026299087e+01
5.899734417521887053e+02,7.609999999999999432e+01,2.481219830695178818e-01,6.626170736605018874e+01
5.940916095609692320e+02,7.657999999999999829e+01,3.896927845269024804e-01,6.611440196570387684e+01
5.982097773697498724e+02,7.706000000000000227e+01,5.312635859842910202e-01,6.596709656535755073e+01
6.023279451785305127e+02,7.753000000000000114e+01,6.728343874416795600e-01,6.581979116501122462e+01
6.064461129873111531e+02,7.801000000000000512e+01,8.140767859393568395e-01,6.567330998981690016e+01
6.105642807960916798e+02,7.848999999999999488e+01,9.550756145261848351e-01,6.552744012594257583e+01
6.146824486048723202e+02,7.896999999999999886e+01,1.096074443113016716e+00,6.538157026206823730e+01
6.188006164136529605e+02,7.945000000000000284e+01,1.237073271699848487e+00,6.523570039819391297e+01
6.229187842224334872e+02,7.993999999999999773e+01,1.376674303315099657e+00,6.509072417577642966e+01
6.270369520312142413e+02,8.043000000000000682e+01,1.515380327957931428e+00,6.494632015043119111e+01
6.311551198399947680e+02,8.093999999999999773e+01,1.654086352600755649e+00,6.480191612508595256e+01
