t (ms),vlv (ml),plv (mmHg),part (mmHg)
0.966690516,80.48,10.43034158,64.88853225
4.044836632,80.39,10.52468346,64.87085701
7.122982749,80.28,10.78632216,64.82562561
10.20112887,80.16,11.20714628,64.75498784
13.27927498,80.03,11.77904443,64.66109343
16.3574211,79.89,12.49390522,64.54609214
19.43556722,79.73,13.34361726,64.41213374
22.51371333,79.56,14.32006916,64.26136798
25.59185945,79.38,15.41514954,64.09594461
28.65728595,79.19,16.62074699,63.9180134
31.73543207,78.99,17.92875013,63.72972409
34.81357819,78.78,19.33104885,63.53322594
37.8917243,78.56,20.8195432,63.33066409
40.96987042,78.32,22.38613811,63.12418171
44.04801654,78.08,24.02273857,62.91592198
47.12616265,77.82,25.72124952,62.70802805
50.20430877,77.55,27.47357276,62.50264438
53.28245489,77.27,29.27157258,62.30193052
56.360601,76.98,31.10708893,62.10805583
59.43874712,76.67,32.97196135,61.92318985
62.51689323,76.36,34.85802936,61.7495021
65.59503935,76.03,36.7571394,61.58915934
68.66046586,75.7,38.66126321,61.44427782
71.73861197,75.35,40.56248203,61.31692969
74.81675809,74.99,42.45288076,61.20918562
77.89490421,74.63,44.32454431,61.12311627
80.97305032,74.25,46.16954458,61.06079754
84.05119644,73.87,47.97954966,61.02446805
87.12934256,73.47,49.74575525,61.01655673
90.20748867,73.07,51.4593302,61.03950336
93.28563479,72.65,53.11144337,61.09574769
96.3637809,72.23,54.69332135,61.18770755
99.44192702,71.8,56.19979376,61.31643175
102.5200731,71.36,57.6313566,61.48081609
105.5854996,70.92,58.98900298,61.67956747
108.6636458,70.48,60.27372599,61.91139283
111.7417919,70.04,61.4865212,62.17499803
114.819938,69.6,62.62881645,62.46890759
117.8980841,69.16,63.70296209,62.79125896
120.9762302,68.73,64.71142708,63.1401398
124.0543763,68.31,65.65668037,63.51363782
127.1325225,67.89,66.54119083,63.90984072
130.2106686,67.47,67.36734038,64.3268733
133.2888147,67.06,68.13725538,64.76296933
136.3669608,66.65,68.85301555,65.21638248
139.4451069,66.25,69.51670057,65.68536641
142.523253,65.86,70.13039014,66.16817479
145.5886795,65.47,70.69618258,66.66305137
148.6668257,65.09,71.21625251,67.16819922
151.7449718,64.71,71.69279411,67.68181096
154.8231179,64.35,72.12800156,68.20207925
157.901264,64,72.52406905,68.72719672
160.9794101,63.65,72.88318294,69.25536488
164.0575562,63.31,73.20748478,69.78483626
167.1357024,62.97,73.49910009,70.31388162
170.2138485,62.63,73.76015436,70.84077173
173.2919946,62.28,73.99277311,71.36377737
176.3701407,61.93,74.19909392,71.88115033
179.4482868,61.57,74.38135356,72.39098672
182.5264329,61.2,74.54183743,72.89130634
185.5918594,60.81,74.68283124,73.38012847
188.6700056,60.41,74.80662072,73.85547236
191.7481517,60.01,74.91544037,74.31543971
194.8262978,59.59,75.01090508,74.75912893
197.9044439,59.18,75.09421822,75.18630042
200.98259,58.76,75.1665758,75.59672649
204.0607361,58.35,75.22917378,75.99017944
207.1388823,57.94,75.28319943,76.36644647
