# Epoch, Train_Loss, Test_Loss
5.000000000000000000e+00,1.823979883222977272e-02,1.475213914631243878e-02
1.000000000000000000e+01,1.465138223591851141e-02,1.199609703139989034e-02
1.500000000000000000e+01,1.171491208559059978e-02,1.083412178101278434e-02
2.000000000000000000e+01,1.157835760219648284e-02,1.051781409926168427e-02
2.500000000000000000e+01,1.309223410261777486e-02,1.349249121729866399e-02
3.000000000000000000e+01,1.159611164100668446e-02,1.032479125685613341e-02
3.500000000000000000e+01,1.153876608864184451e-02,9.629546603975913666e-03
4.000000000000000000e+01,1.752979358952491684e-02,4.375391268817200446e-02
4.500000000000000000e+01,1.064840527986496942e-02,9.849044808719620292e-03
5.000000000000000000e+01,1.968947795396669420e-02,1.137490210236786863e-02
5.500000000000000000e+01,1.078614358750608002e-02,2.201912823948801862e-02
6.000000000000000000e+01,9.643783171300658943e-03,8.817352353245785576e-03
6.500000000000000000e+01,9.711684622385549290e-03,8.650913429185632872e-03
7.000000000000000000e+01,1.049280560799673544e-02,1.016939865751047105e-02
7.500000000000000000e+01,9.234859086816519028e-03,1.915995934828985947e-02
8.000000000000000000e+01,1.308456308592591613e-02,9.065376887405118128e-03
8.500000000000000000e+01,1.052453381575632792e-02,2.440109546226245513e-02
9.000000000000000000e+01,9.994263550950349337e-03,8.183379744732406993e-03
9.500000000000000000e+01,9.346772121323430188e-03,9.386544421658406245e-03
1.000000000000000000e+02,1.240454511041654689e-02,1.205688906015094444e-02
1.050000000000000000e+02,1.103063427857233630e-02,1.150247365351136052e-02
1.100000000000000000e+02,1.373225043309826178e-02,1.367404219035396259e-02
1.150000000000000000e+02,1.243292783775339604e-02,1.235600948210219784e-02
1.200000000000000000e+02,1.208360374102278485e-02,1.213663277538447847e-02
1.250000000000000000e+02,1.438676496063583110e-02,1.393621703647795161e-02
1.300000000000000000e+02,2.088501639870219903e-02,1.440721586967151288e-02
1.350000000000000000e+02,1.170248098354119588e-02,1.227265874204917263e-02
1.400000000000000000e+02,1.795155224514777964e-02,1.393954031242688150e-02
1.450000000000000000e+02,1.029683506704794603e-02,8.592051594867568254e-03
1.500000000000000000e+02,8.283891240098765346e-03,8.957847857513088000e-03
1.550000000000000000e+02,8.297233713362580157e-03,8.153247267526655961e-03
1.600000000000000000e+02,8.387400958527453307e-03,9.838748174632837296e-03
1.650000000000000000e+02,8.146267046509376650e-03,8.188959607511725816e-03
1.700000000000000000e+02,8.191394602100174685e-03,7.157009055103303631e-03
1.750000000000000000e+02,8.041826712997008839e-03,1.477349582466675436e-02
1.800000000000000000e+02,7.665603617664434356e-03,7.217848301944686934e-03
1.850000000000000000e+02,7.534565666962212034e-03,7.638397499942229871e-03
1.900000000000000000e+02,9.234639709000243279e-03,2.535034616183144338e-02
1.950000000000000000e+02,8.717579771287514365e-03,9.092689205835923980e-03
2.000000000000000000e+02,1.345855795543621572e-02,9.328293682071225543e-03
2.050000000000000000e+02,7.603714438951722325e-03,8.965956316955422598e-03
2.100000000000000000e+02,8.174694990674519560e-03,7.162027044882767271e-03
2.150000000000000000e+02,8.081327055269156567e-03,8.009920131158670964e-03
2.200000000000000000e+02,7.435350625919980201e-03,8.152356986221652446e-03
2.250000000000000000e+02,8.343251580841452505e-03,7.447893051011683294e-03
2.300000000000000000e+02,8.311892935447841996e-03,6.845571538723685401e-03
2.350000000000000000e+02,8.448531421360839025e-03,7.541564115963256959e-03
2.400000000000000000e+02,7.346262875162548438e-03,8.708199166554551202e-03
2.450000000000000000e+02,7.878560280026257120e-03,8.422111632172166532e-03
2.500000000000000000e+02,8.012098270486102750e-03,7.321670425749516979e-03
2.550000000000000000e+02,8.366458897072969955e-03,6.818438838971891541e-03
2.600000000000000000e+02,8.727314364604036104e-03,8.072813581713019632e-03
2.650000000000000000e+02,7.672146222879026346e-03,7.434973064271773770e-03
2.700000000000000000e+02,7.882570484515866865e-03,6.712587788437641458e-03
2.750000000000000000e+02,7.723437526319017546e-03,6.702675572803237954e-03
2.800000000000000000e+02,7.987658848056794839e-03,7.183468560947510809e-03
2.850000000000000000e+02,7.578719737572738382e-03,6.424777306893155425e-03
2.900000000000000000e+02,8.612368499136107899e-03,7.711138744902108072e-03
2.950000000000000000e+02,7.814386581922691880e-03,7.195928522893252875e-03
3.000000000000000000e+02,7.309323528048991200e-03,6.998578035154542562e-03
3.050000000000000000e+02,7.489165216328944226e-03,9.003563367830983571e-03
3.100000000000000000e+02,7.450754138354081201e-03,8.611788661579342086e-03
3.150000000000000000e+02,8.023538708918641002e-03,1.388827242994354963e-02
3.200000000000000000e+02,8.195522822347691902e-03,7.191574900257256819e-03
3.250000000000000000e+02,7.776614542492366403e-03,1.209959426616487831e-02
3.300000000000000000e+02,9.095613352388714351e-03,7.975007070124528682e-03
3.350000000000000000e+02,8.871979838429300269e-03,6.916829693805037933e-03
3.400000000000000000e+02,8.062437612206339865e-03,6.702446826539233682e-03
3.450000000000000000e+02,6.421808836198777959e-03,6.489983880777515542e-03
3.500000000000000000e+02,7.751977903244368362e-03,6.215587239032008444e-03
3.550000000000000000e+02,6.908139605769000706e-03,6.411676777449982698e-03
3.600000000000000000e+02,6.918306165152796755e-03,6.881881470504999827e-03
3.650000000000000000e+02,6.313340821385285927e-03,1.036470383326151302e-02
3.700000000000000000e+02,6.831463614877710672e-03,8.833347026730616058e-03
3.750000000000000000e+02,6.286023469908068144e-03,7.670969858743728609e-03
3.800000000000000000e+02,6.937422870934842854e-03,6.043728264704809235e-03
3.850000000000000000e+02,6.685480005711774525e-03,6.323895739642144791e-03
3.900000000000000000e+02,7.158558748134216665e-03,1.162480346473828210e-02
3.950000000000000000e+02,6.714981052631883301e-03,6.356361761797511833e-03
4.000000000000000000e+02,6.645579201075213320e-03,5.745041526940167058e-03
4.050000000000000000e+02,6.585802741641896309e-03,5.541775682678345798e-03
4.100000000000000000e+02,7.797041814595675850e-03,8.418738398172019924e-03
4.150000000000000000e+02,6.529146508853047801e-03,6.539472050514063585e-03
4.200000000000000000e+02,6.378203419880642232e-03,5.523440737976548047e-03
4.250000000000000000e+02,6.973458846194519924e-03,5.487364559646577128e-03
4.300000000000000000e+02,6.471018339859410835e-03,6.148790516695322277e-03
4.350000000000000000e+02,6.493123104681856016e-03,6.830948449825179590e-03
4.400000000000000000e+02,6.772991305073843699e-03,5.588570170174255065e-03
4.450000000000000000e+02,6.607566557359424719e-03,7.659330959261409673e-03
4.500000000000000000e+02,7.166866766176114775e-03,7.786173064367716418e-03
4.550000000000000000e+02,7.620712354475799380e-03,7.158555361039506057e-03
4.600000000000000000e+02,5.651311926536638219e-03,4.278336514952684431e-03
4.650000000000000000e+02,4.628573304538307308e-03,4.936489021289318033e-03
4.700000000000000000e+02,4.015458222016813315e-03,3.390605510567477714e-03
4.750000000000000000e+02,4.026010719914577610e-03,4.348672121521118296e-03
4.800000000000000000e+02,3.649485278997686554e-03,3.244239828354803911e-03
4.850000000000000000e+02,3.543537379245793872e-03,5.600268721461735232e-03
4.900000000000000000e+02,3.676036106623389518e-03,3.763076519646863915e-03
4.950000000000000000e+02,3.527246785767362575e-03,4.272204906586007586e-03
5.000000000000000000e+02,3.408361142182894307e-03,3.237921647390830989e-03
5.050000000000000000e+02,3.424759227805284929e-03,3.382059738123896400e-03
5.100000000000000000e+02,3.354765071261131982e-03,3.735987095590983121e-03
5.150000000000000000e+02,3.316788759257077984e-03,3.029715744324196127e-03
5.200000000000000000e+02,3.280752676198132271e-03,3.852748711389545385e-03
5.250000000000000000e+02,3.283075072530295454e-03,3.984294504825774269e-03
5.300000000000000000e+02,3.227998122516998435e-03,3.886884943645984442e-03
5.350000000000000000e+02,3.253029217645461713e-03,3.164298791955567815e-03
5.400000000000000000e+02,3.308223430703955033e-03,3.108195593801051961e-03
5.450000000000000000e+02,3.267764489417094784e-03,3.238794298256159488e-03
5.500000000000000000e+02,3.222517856088338069e-03,3.474990460889206424e-03
5.550000000000000000e+02,3.179289587265556570e-03,4.074700697241889769e-03
5.600000000000000000e+02,3.208083856030858640e-03,3.895799613071878990e-03
5.650000000000000000e+02,3.150292044828033062e-03,2.804285610208438577e-03
5.700000000000000000e+02,3.180207289505354584e-03,3.301146420535663612e-03
5.750000000000000000e+02,3.151725247831237055e-03,2.840748877163111821e-03
5.800000000000000000e+02,3.187698332718804858e-03,2.676873111246951507e-03
5.850000000000000000e+02,3.071727335870797979e-03,3.393863113993664769e-03
5.900000000000000000e+02,3.096735267752684807e-03,4.092293493313718319e-03
5.950000000000000000e+02,3.083455631042968451e-03,3.331200071633969029e-03
6.000000000000000000e+02,2.947705162407505096e-03,2.730101884784556787e-03
6.050000000000000000e+02,3.033753367841352574e-03,2.842058760312118990e-03
6.100000000000000000e+02,3.065319561693651169e-03,3.189287846973606552e-03
6.150000000000000000e+02,3.121670100808336939e-03,3.847867682167811429e-03
6.200000000000000000e+02,2.999987965455640747e-03,3.400308657310112479e-03
6.250000000000000000e+02,3.063409526325246851e-03,2.574349093974108958e-03
6.300000000000000000e+02,3.099149831619409014e-03,2.354880132340407897e-03
6.350000000000000000e+02,2.949285600421297157e-03,2.836084696704540848e-03
6.400000000000000000e+02,3.025528507858000430e-03,3.876719843763386675e-03
6.450000000000000000e+02,2.955247815274234229e-03,2.800428280700583208e-03
6.500000000000000000e+02,3.070954687170910757e-03,2.486585350664306977e-03
6.550000000000000000e+02,2.995811627623665412e-03,2.403273926258263707e-03
6.600000000000000000e+02,2.953605108152367043e-03,2.778597489008004500e-03
6.650000000000000000e+02,8.353241582837398480e-05,8.498969301527416361e-05
6.700000000000000000e+02,7.794505098392563161e-05,8.056045075992603608e-05
